ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-03-01T00:00:59Z,0,0,16,0,24.2,0.4,16.7,846.9,16.8,17,94.1,262,253,0,0,87,0,0,17.1,16.3,12.9
2026-03-01T00:16:06Z,0,0,16,0,24.2,0.4,16.6,846.8,16.6,17,94.1,260,254,0,0,87,0,0,17.1,16.3,12.8
2026-03-01T00:31:11Z,0,0,16,0,24.2,0.4,16.4,846.7,16.5,16.8,94.1,261,253,0,0,87,0,0,16.9,16.1,12.7
2026-03-01T00:46:18Z,0,0,16,0,24.2,0.4,16.4,846.7,16.5,16.8,94.1,261,253,0,0,87,0,0,16.9,16.1,12.6
2026-03-01T01:01:42Z,0,0,16,0,24.2,0.4,16.4,846.7,16.6,16.8,94.1,260,253,0,0,87,0,0,16.9,16.1,12.7
2026-03-01T01:16:48Z,0,0,16,0,24.2,0.4,16.6,846.8,16.7,17,94.2,259,253,0,0,87,0,0,17.1,16.3,12.8
2026-03-01T01:31:55Z,0,0,16,0,24.2,0.4,16.6,846.8,16.7,17,94.2,261,252,0,0,87,0,0,17.1,16.3,12.9
2026-03-01T01:47:01Z,0,0,16,0,24.2,0.4,16.7,847,16.8,17.1,94.2,259,254,0,0,87,0,0,17.2,16.4,12.9
2026-03-01T02:02:08Z,0,0,16,0,24.2,0.4,16.8,847,16.8,17.2,94.3,260,254,0,0,87,0,0,17.3,16.5,13.1
2026-03-01T02:17:14Z,0,0,16,0,24.2,0.4,16.7,847.2,16.8,17.1,94.3,261,254,0,0,87,0,0,17.2,16.5,13
2026-03-01T02:32:21Z,0,0,16,0,24.2,0.4,17,847.4,17.1,17.3,94.4,261,253,0,0,87,0,0,17.4,16.6,13.2
2026-03-01T02:47:46Z,0,0,16,0,24.2,0.4,16.9,847.5,17.1,17.3,94.5,259,253,0,0,87,0,0,17.4,16.6,13.2
2026-03-01T03:02:52Z,0,0,16,0,24.2,0.4,16.9,847.6,17,17.3,94.5,260,254,0,0,87,0,0,17.4,16.6,13.1
2026-03-01T03:17:52Z,0,0,16,0,24.2,0.4,16.9,847.7,17.1,17.3,94.6,261,254,0,0,87,0,0,17.4,16.6,13.2
2026-03-01T03:32:58Z,0,0,16,0,24.2,0.4,16.9,848,17,17.3,94.6,262,260,0,0,87,0,0,17.4,16.7,13.2
2026-03-01T03:48:05Z,0,0,16,0.1,24.2,0.4,16.9,848.1,17.1,17.3,94.7,267,361,0,0,87,0,0,17.4,16.6,13.2
2026-03-01T04:03:12Z,0,0,16,0.1,24.2,0.4,16.9,848.4,17.1,17.3,94.7,281,487,0,0,87,0,0,17.4,16.7,13.2
2026-03-01T04:18:18Z,0,0,16,0.2,24.2,0.4,17.1,848.5,17.2,17.4,94.7,291,608,0,0,87,0.2,0.2,17.6,16.8,13.3
